shoe_id,cards_remaining,dealer_up,initial_hand,dealer_final,dealer_final_value,player_final,player_final_value,actions_taken,run_count,true_count,win
818656,373,3,"[9, 8]","[3, 10, 2, 10]",25,"[[9, 8]]",[17],[['S']],-7,0,1
818656,367,3,"[10, 10]","[3, 8, 9]",20,"[[10, 10]]",[20],[['S']],-7,0,0
818656,362,6,"[4, 10]","[6, 3, 11]",20,"[[4, 10]]",[14],[['S']],-8,-1,-1
818656,357,5,"[2, 5]","[5, 10, 10]",25,"[[2, 5, 8]]",[15],"[['H', 'S']]",-7,-1,1
818656,351,8,"[5, 6]","[8, 3, 10]",21,"[[5, 6, 10]]",[21],[['D']],-6,0,0
818656,345,7,"[5, 5]","[7, 9, 4]",20,"[[5, 5, 8]]",[18],[['D']],-5,0,-2
818656,339,10,"[10, 9]","[10, 4, 10]",24,"[[10, 9]]",[19],[['S']],-2,0,1
818656,334,9,"[8, 4]","[9, 3, 4, 10]",26,"[[8, 4, 10]]",[22],[['H']],-4,0,-1
818656,327,3,"[3, 10]","[3, 10, 10]",23,"[[3, 10]]",[13],[['S']],-3,0,1
818656,322,8,"[3, 10]","[8, 2, 10]",20,"[[3, 10, 2, 8]]",[23],"[['H', 'H']]",-4,0,-1
818656,315,11,"[4, 10]","[11, 6, 2]",19,"[[4, 10, 5]]",[19],"[['N', 'H', 'S']]",-3,0,0
818656,309,11,"[10, 7]","[11, 9]",20,"[[10, 7]]",[17],"[['N', 'R']]",-1,0,-0.5
818656,305,5,"[9, 8]","[5, 10, 7]",22,"[[9, 8]]",[17],[['S']],-3,0,1
818656,300,5,"[7, 8]","[5, 6, 7]",18,"[[7, 8]]",[15],[['S']],-3,0,-1
818656,295,8,"[10, 2]","[8, 7, 3]",18,"[[10, 2, 5]]",[17],"[['H', 'S']]",-1,0,-1
818656,289,5,"[10, 4]","[5, 10, 10]",25,"[[10, 4]]",[14],[['S']],1,0,1
818656,284,3,"[9, 10]","[3, 3, 11, 2]",19,"[[9, 10]]",[19],[['S']],0,0,0
818656,278,2,"[6, 5]","[2, 5, 3, 6, 11]",17,"[[6, 5, 10]]",[21],[['D']],1,0,2
818656,270,7,"[5, 10]","[7, 11]",18,"[[5, 10, 3]]",[18],"[['H', 'S']]",5,0,0
818656,265,10,"[5, 9]","[10, 3, 2, 3]",18,"[[5, 9, 10]]",[24],[['H']],5,0,-1
818656,258,6,"[7, 6]","[6, 10, 11]",17,"[[7, 6]]",[13],[['S']],7,1,-1
818656,253,4,"[3, 7]","[4, 3, 11]",18,"[[3, 7, 2]]",[12],[['D']],7,1,-2
818656,247,10,"[9, 8]","[10, 3, 8]",21,"[[9, 8]]",[17],[['S']],10,2,-1
818656,242,8,"[10, 10]","[8, 2, 5, 7]",22,"[[10, 10]]",[20],[['S']],10,2,1
818656,236,9,"[8, 5]","[9, 10]",19,"[[8, 5, 3, 5]]",[21],"[['H', 'H', 'S']]",10,2,1
818656,230,10,"[10, 10]","[10, 7]",17,"[[10, 10]]",[20],[['S']],12,2,1
818656,226,2,"[10, 10]","[2, 11, 8]",21,"[[10, 10]]",[20],[['S']],9,2,-1
818656,221,7,"[7, 2]","[7, 10]",17,"[[7, 2, 10]]",[19],"[['H', 'S']]",7,1,1
818656,216,10,"[5, 5]","[10, 7]",17,"[[5, 5, 10]]",[20],"[['H', 'S']]",6,1,1
818656,211,2,"[2, 10]","[2, 6, 11]",19,"[[2, 10, 7]]",[19],"[['H', 'S']]",6,1,0
818656,205,6,"[7, 10]","[6, 11, 2]",19,"[[7, 10]]",[17],[['S']],7,1,-1
818656,200,11,"[5, 10]","[11, 6, 10]",17,"[[5, 10]]",[15],"[['N', 'R']]",7,1,-0.5
818656,195,4,"[10, 10]","[4, 10, 2, 10]",26,"[[10, 10]]",[20],[['S']],6,1,1
818656,189,10,"[3, 3]","[10, 10]",20,"[[3, 3, 2, 7, 9]]",[24],"[['H', 'H', 'H']]",4,1,-1
818656,182,11,"[6, 9]","[11, 7]",18,"[[6, 9]]",[15],"[['N', 'R']]",5,1,-0.5
818656,178,6,"[7, 10]","[6, 10, 6]",22,"[[7, 10]]",[17],[['S']],5,1,1
818656,173,10,"[10, 9]","[10, 10]",20,"[[10, 9]]",[19],[['S']],5,1,-1
818656,169,10,"[4, 8]","[10, 8]",18,"[[4, 8, 6]]",[18],"[['H', 'S']]",2,0,0
818656,164,9,"[10, 10]","[9, 7, 9]",25,"[[10, 10]]",[20],[['S']],3,0,1
818656,159,9,"[11, 5]","[9, 3, 10]",22,"[[11, 5, 9, 10]]",[25],"[['H', 'H']]",1,0,-1
818656,152,4,"[2, 10]","[4, 11, 10, 11, 8]",24,"[[2, 10]]",[12],[['S']],0,0,1
818656,145,10,"[10, 8]","[10, 4, 10]",24,"[[10, 8]]",[18],[['S']],-2,0,1
818656,140,9,"[8, 10]","[9, 10]",19,"[[8, 10]]",[18],[['S']],-4,-1,-1
818656,136,4,"[4, 4]","[4, 6, 2, 2, 11, 4]",19,"[[4, 4, 11]]",[19],"[['H', 'S']]",-6,-2,0
818656,127,11,"[10, 7]","[11, 3, 2, 10, 5]",21,"[[10, 7]]",[17],"[['N', 'R']]",-1,0,-0.5
818656,120,10,"[9, 5]","[10, 6, 7]",23,"[[9, 5, 10]]",[24],[['H']],-1,0,-1
818656,114,11,"[6, 10]","[11, 9]",20,"[[6, 10]]",[16],"[['N', 'R']]",-1,0,-0.5
818656,110,8,"[10, 8]","[8, 9]",17,"[[10, 8]]",[18],[['S']],-2,0,1
