dealer_up,initial_hand,actions_taken
6,"[10, 11]",[['S']]
10,"[11, 9]",[['S']]
8,"[4, 7]",[['D']]
5,"[7, 11]",[['D']]
10,"[11, 10]",[['S']]
11,"[9, 10]","[['N', 'S']]"
6,"[2, 11]",[['D']]
5,"[10, 11]",[['S']]
4,"[11, 10]",[['S']]
8,"[6, 5]",[['D']]
3,"[5, 8]",[['S']]
10,"[10, 7]",[['S']]
7,"[10, 10]",[['S']]
4,"[3, 3]","[['P', 'H', 'H', 'S'], ['S']]"
6,"[10, 4]",[['S']]
10,"[4, 10]","[['H', 'H', 'S']]"
6,"[10, 9]",[['S']]
8,"[9, 10]",[['S']]
6,"[6, 6]","[['P', 'D'], ['D']]"
9,"[5, 2]","[['H', 'H', 'S']]"
8,"[7, 9]","[['H', 'S']]"
8,"[10, 8]",[['S']]
5,"[10, 10]",[['S']]
9,"[2, 2]","[['H', 'H', 'S']]"
10,"[10, 10]",[['S']]
6,"[4, 10]",[['S']]
10,"[3, 9]","[['H', 'S']]"
3,"[11, 10]",[['S']]
2,"[10, 10]",[['S']]
5,"[10, 10]",[['S']]
2,"[10, 10]",[['S']]
10,"[3, 10]","[['H', 'S']]"
4,"[10, 9]",[['S']]
10,"[10, 8]",[['S']]
2,"[11, 9]",[['S']]
6,"[4, 4]","[['P', 'D'], ['S']]"
10,"[9, 10]",[['S']]
4,"[2, 10]",[['S']]
5,"[2, 10]",[['S']]
10,"[3, 5]","[['H', 'H', 'S']]"
4,"[5, 4]",[['D']]
2,"[10, 3]",[['S']]
7,"[5, 9]","[['H', 'S']]"
11,"[10, 3]","[['N', 'H', 'S']]"
10,"[10, 10]",[['S']]
10,"[6, 7]","[['H', 'S']]"
10,"[6, 3]","[['H', 'H', 'S']]"
10,"[9, 10]",[['S']]
4,"[10, 3]",[['S']]
9,"[10, 8]",[['S']]
10,"[2, 4]","[['H', 'H', 'S']]"
9,"[10, 10]",[['S']]
9,"[10, 11]",[['S']]
6,"[8, 11]",[['D']]
6,"[9, 10]",[['S']]
6,"[8, 10]",[['S']]
4,"[9, 8]",[['S']]
4,"[3, 10]",[['S']]
11,"[10, 10]","[['N', 'S']]"
5,"[10, 2]",[['S']]
8,"[2, 10]","[['H', 'S']]"
4,"[10, 9]",[['S']]
7,"[8, 3]",[['D']]
8,"[10, 10]",[['S']]
8,"[10, 11]",[['S']]
10,"[8, 11]",[['S']]
9,"[11, 10]",[['S']]
10,"[10, 2]","[['H', 'S']]"
9,"[6, 11]","[['H', 'H', 'S']]"
10,"[11, 10]",[['S']]
10,"[10, 9]",[['S']]
3,"[9, 9]","[['P', 'S'], ['S']]"
3,"[5, 10]",[['S']]
10,"[8, 11]",[['S']]
11,"[9, 4]","[['N', 'H', 'S']]"
7,"[10, 11]",[['S']]
10,"[10, 7]",[['S']]
8,"[2, 3]","[['H', 'H', 'S']]"
3,"[6, 11]",[['D']]
4,"[11, 10]",[['S']]
4,"[2, 7]",[['D']]
5,"[9, 6]",[['S']]
5,"[7, 10]",[['S']]
4,"[11, 2]","[['H', 'H', 'S']]"
3,"[10, 11]",[['S']]
8,"[9, 9]","[['P', 'D'], ['S']]"
10,"[6, 11]","[['H', 'S']]"
6,"[3, 3]","[['P', 'S'], ['S']]"
3,"[10, 11]",[['S']]
10,"[10, 2]","[['H', 'S']]"
9,"[2, 8]",[['D']]
10,"[10, 2]","[['H', 'S']]"
5,"[6, 11]",[['D']]
4,"[8, 5]",[['S']]
10,"[10, 11]",[['S']]
3,"[10, 9]",[['S']]
2,"[3, 8]",[['D']]
10,"[5, 11]","[['H', 'H', 'S']]"
10,"[10, 11]",[['S']]
10,"[10, 10]",[['S']]
10,"[4, 10]","[['H', 'S']]"
7,"[5, 5]",[['D']]
10,"[8, 4]","[['H', 'S']]"
10,"[9, 10]",[['S']]
8,"[9, 10]",[['S']]
9,"[9, 2]",[['D']]
6,"[11, 9]",[['S']]
3,"[11, 10]",[['S']]
6,"[3, 8]",[['D']]
10,"[10, 10]",[['S']]
9,"[7, 8]","[['H', 'S']]"
11,"[3, 2]","[['N', 'H', 'H', 'S']]"
6,"[3, 6]",[['D']]
10,"[10, 9]",[['S']]
7,"[10, 10]",[['S']]
4,"[10, 3]",[['S']]
7,"[10, 11]",[['S']]
10,"[9, 11]",[['S']]
10,"[10, 10]",[['S']]
4,"[3, 4]","[['H', 'S']]"
9,"[10, 10]",[['S']]
10,"[8, 11]",[['S']]
2,"[6, 4]",[['D']]
4,"[10, 10]",[['S']]
2,"[10, 8]",[['S']]
3,"[10, 7]",[['S']]
9,"[7, 2]","[['H', 'H', 'S']]"
5,"[10, 8]",[['S']]
4,"[10, 10]",[['S']]
8,"[2, 3]","[['H', 'H', 'S']]"
11,"[8, 5]","[['N', 'H', 'S']]"
3,"[6, 5]",[['D']]
5,"[4, 6]",[['D']]
4,"[7, 8]",[['S']]
5,"[9, 6]",[['S']]
6,"[10, 2]",[['S']]
6,"[7, 11]",[['D']]
7,"[9, 7]","[['H', 'S']]"
11,"[10, 3]","[['N', 'H', 'S']]"
3,"[8, 7]",[['S']]
3,"[3, 11]","[['H', 'S']]"
10,"[10, 10]",[['S']]
8,"[4, 4]","[['H', 'H', 'H', 'H', 'S']]"
7,"[5, 7]","[['H', 'S']]"
10,"[8, 10]",[['S']]
8,"[4, 2]","[['H', 'H', 'S']]"
5,"[11, 10]",[['S']]
5,"[6, 5]",[['D']]
4,"[4, 2]","[['H', 'H', 'S']]"
4,"[5, 10]",[['S']]
3,"[10, 10]",[['S']]
5,"[8, 11]",[['S']]
6,"[6, 10]",[['S']]
6,"[9, 4]",[['S']]
10,"[10, 10]",[['S']]
8,"[10, 10]",[['S']]
10,"[2, 6]","[['H', 'H', 'S']]"
2,"[10, 11]",[['S']]
10,"[6, 3]","[['H', 'S']]"
9,"[10, 10]",[['S']]
11,"[10, 8]","[['N', 'S']]"
7,"[11, 3]","[['H', 'S']]"
8,"[10, 10]",[['S']]
6,"[3, 11]",[['D']]
10,"[2, 9]",[['D']]
4,"[2, 8]",[['D']]
10,"[2, 4]","[['H', 'H', 'S']]"
10,"[10, 10]",[['S']]
4,"[11, 8]",[['S']]
10,"[4, 10]","[['H', 'S']]"
6,"[6, 4]",[['D']]
5,"[10, 11]",[['S']]
9,"[8, 10]",[['S']]
9,"[11, 10]",[['S']]
9,"[8, 10]",[['S']]
10,"[2, 8]","[['H', 'S']]"
2,"[10, 10]",[['S']]
8,"[3, 5]","[['H', 'H', 'S']]"
10,"[10, 9]",[['S']]
2,"[5, 10]",[['S']]
10,"[4, 4]","[['H', 'S']]"
7,"[9, 10]",[['S']]
3,"[10, 4]",[['S']]
10,"[3, 10]","[['H', 'S']]"
4,"[10, 9]",[['S']]
5,"[5, 10]",[['S']]
8,"[11, 8]",[['S']]
4,"[7, 2]",[['D']]
3,"[8, 10]",[['S']]
9,"[4, 9]","[['H', 'S']]"
6,"[4, 6]",[['D']]
9,"[3, 11]","[['H', 'S']]"
9,"[11, 10]",[['S']]
3,"[10, 10]",[['S']]
8,"[11, 3]","[['H', 'S']]"
7,"[10, 10]",[['S']]
10,"[5, 6]",[['D']]
7,"[10, 4]","[['H', 'S']]"
6,"[10, 11]",[['S']]
3,"[10, 8]",[['S']]
9,"[3, 6]","[['H', 'S']]"
8,"[8, 10]",[['S']]
2,"[10, 10]",[['S']]
3,"[6, 10]",[['S']]
2,"[4, 10]",[['S']]
3,"[11, 10]",[['S']]
4,"[7, 11]",[['D']]
6,"[9, 6]",[['S']]
9,"[8, 2]",[['D']]
10,"[5, 9]","[['H', 'S']]"
7,"[6, 10]","[['H', 'S']]"
10,"[3, 8]",[['D']]
3,"[10, 10]",[['S']]
10,"[5, 3]","[['H', 'S']]"
4,"[11, 10]",[['S']]
10,"[10, 10]",[['S']]
5,"[10, 2]",[['S']]
10,"[6, 7]","[['H', 'S']]"
10,"[10, 10]",[['S']]
7,"[3, 11]","[['H', 'H', 'H', 'S']]"
6,"[2, 8]",[['D']]
10,"[3, 2]","[['H', 'H', 'S']]"
8,"[9, 3]","[['H', 'S']]"
3,"[6, 10]",[['S']]
3,"[5, 10]",[['S']]
2,"[11, 10]",[['S']]
7,"[8, 10]",[['S']]
8,"[10, 10]",[['S']]
10,"[2, 10]","[['H', 'S']]"
10,"[10, 10]",[['S']]
6,"[7, 6]",[['S']]
10,"[11, 10]",[['S']]
4,"[10, 8]",[['S']]
6,"[11, 9]",[['S']]
9,"[5, 8]","[['H', 'H', 'S']]"
6,"[10, 11]",[['S']]
4,"[3, 6]",[['D']]
3,"[8, 10]",[['S']]
4,"[10, 2]",[['S']]
9,"[10, 3]","[['H', 'S']]"
10,"[7, 10]",[['S']]
4,"[11, 2]","[['H', 'S']]"
3,"[10, 9]",[['S']]
8,"[5, 7]","[['H', 'S']]"
7,"[10, 10]",[['S']]
4,"[9, 7]",[['S']]
4,"[10, 11]",[['S']]
9,"[10, 10]",[['S']]
8,"[8, 5]","[['H', 'H', 'S']]"
4,"[10, 10]",[['S']]
11,"[10, 11]","[['N', 'S']]"
3,"[3, 2]","[['H', 'H', 'S']]"
10,"[10, 10]",[['S']]
10,"[10, 9]",[['S']]
2,"[10, 11]",[['S']]
7,"[11, 11]","[['P'], []]"
7,"[10, 10]",[['S']]
3,"[10, 8]",[['S']]
2,"[6, 4]",[['D']]
10,"[10, 10]",[['S']]
10,"[10, 3]","[['H', 'S']]"
7,"[9, 2]",[['D']]
6,"[6, 10]",[['S']]
10,"[10, 10]",[['S']]
4,"[10, 11]",[['S']]
10,"[10, 3]","[['H', 'S']]"
10,"[6, 5]",[['D']]
6,"[4, 10]",[['S']]
6,"[11, 10]",[['S']]
6,"[7, 10]",[['S']]
10,"[3, 3]","[['H', 'H', 'S']]"
4,"[10, 11]",[['S']]
8,"[2, 11]","[['H', 'S']]"
2,"[10, 3]",[['S']]
2,"[7, 4]",[['D']]
5,"[6, 2]","[['H', 'H', 'S']]"
10,"[2, 10]","[['H', 'S']]"
9,"[10, 10]",[['S']]
4,"[3, 9]",[['S']]
6,"[7, 11]",[['D']]
4,"[7, 10]",[['S']]
10,"[11, 7]","[['H', 'S']]"
4,"[11, 3]","[['H', 'S']]"
10,"[5, 5]","[['H', 'H', 'S']]"
2,"[10, 3]",[['S']]
10,"[4, 11]","[['H', 'S']]"
6,"[7, 4]",[['D']]
11,"[5, 4]","[['N', 'H', 'S']]"
4,"[10, 10]",[['S']]
10,"[8, 9]",[['S']]
10,"[7, 2]","[['H', 'S']]"
3,"[10, 10]",[['S']]
5,"[2, 3]","[['H', 'H', 'S']]"
5,"[4, 10]",[['S']]
2,"[3, 8]",[['D']]
10,"[10, 8]",[['S']]
6,"[5, 10]",[['S']]
5,"[8, 6]",[['S']]
11,"[10, 10]","[['N', 'S']]"
7,"[8, 2]",[['D']]
11,"[9, 10]","[['N', 'S']]"
11,"[10, 10]","[['N', 'S']]"
8,"[10, 10]",[['S']]
2,"[7, 10]",[['S']]
7,"[9, 11]",[['S']]
10,"[10, 2]","[['H', 'S']]"
3,"[10, 5]",[['S']]
10,"[10, 10]",[['S']]
10,"[9, 11]",[['S']]
4,"[10, 7]",[['S']]
7,"[10, 3]","[['H', 'S']]"
5,"[9, 7]",[['S']]
3,"[10, 10]",[['S']]
8,"[7, 3]",[['D']]
10,"[6, 5]",[['D']]
3,"[7, 10]",[['S']]
4,"[9, 10]",[['S']]
4,"[9, 9]","[['P', 'S'], ['S']]"
10,"[5, 2]","[['H', 'H', 'S']]"
9,"[6, 5]",[['D']]
11,"[6, 5]","[['N', 'D']]"
5,"[8, 10]",[['S']]
5,"[5, 10]",[['S']]
9,"[7, 3]",[['D']]
2,"[6, 2]","[['H', 'S']]"
10,"[8, 6]","[['H', 'H', 'H', 'S']]"
5,"[7, 3]",[['D']]
10,"[2, 4]","[['H', 'H', 'S']]"
5,"[2, 9]",[['D']]
10,"[10, 11]",[['S']]
7,"[8, 8]","[['P', 'S'], ['S']]"
7,"[10, 10]",[['S']]
10,"[10, 10]",[['S']]
8,"[7, 4]",[['D']]
10,"[7, 6]","[['H', 'H', 'S']]"
6,"[10, 10]",[['S']]
2,"[7, 7]","[['P', 'D'], ['H', 'S']]"
11,"[10, 10]","[['N', 'S']]"
9,"[11, 9]",[['S']]
9,"[4, 6]",[['D']]
7,"[10, 10]",[['S']]
4,"[6, 9]",[['S']]
9,"[9, 8]",[['S']]
10,"[2, 7]","[['H', 'S']]"
4,"[8, 3]",[['D']]
11,"[7, 5]","[['N', 'H', 'H', 'S']]"
6,"[10, 10]",[['S']]
3,"[5, 10]",[['S']]
11,"[2, 2]","[['N', 'H', 'H', 'S']]"
4,"[8, 9]",[['S']]
7,"[2, 10]","[['H', 'S']]"
6,"[9, 10]",[['S']]
4,"[10, 10]",[['S']]
5,"[10, 11]",[['S']]
8,"[2, 3]","[['H', 'H', 'H', 'H', 'S']]"
3,"[6, 11]",[['D']]
10,"[10, 10]",[['S']]
2,"[11, 7]",[['D']]
5,"[10, 10]",[['S']]
9,"[4, 7]",[['D']]
9,"[6, 8]","[['H', 'S']]"
3,"[10, 10]",[['S']]
4,"[7, 10]",[['S']]
5,"[10, 11]",[['S']]
10,"[10, 11]",[['S']]
4,"[7, 10]",[['S']]
4,"[10, 2]",[['S']]
10,"[3, 4]","[['H', 'H', 'S']]"
10,"[11, 2]","[['H', 'S']]"
2,"[10, 10]",[['S']]
10,"[11, 2]","[['H', 'H', 'S']]"
8,"[10, 5]","[['H', 'S']]"
10,"[4, 5]","[['H', 'S']]"
10,"[11, 10]",[['S']]
6,"[4, 7]",[['D']]
10,"[3, 6]","[['H', 'S']]"
11,"[10, 10]","[['N', 'S']]"
6,"[2, 3]","[['H', 'H', 'S']]"
5,"[8, 10]",[['S']]
10,"[3, 8]",[['D']]
4,"[10, 10]",[['S']]
7,"[3, 11]","[['H', 'S']]"
2,"[5, 11]","[['H', 'S']]"
10,"[10, 11]",[['S']]
10,"[2, 11]","[['H', 'H', 'H', 'S']]"
7,"[10, 2]","[['H', 'S']]"
2,"[2, 7]","[['H', 'S']]"
3,"[10, 2]","[['H', 'S']]"
10,"[4, 10]","[['H', 'S']]"
7,"[3, 3]","[['P', 'H', 'S'], ['H', 'S']]"
4,"[9, 9]","[['P', 'S'], ['S']]"
3,"[3, 10]",[['S']]
10,"[10, 3]","[['H', 'S']]"
2,"[11, 10]",[['S']]
7,"[10, 2]","[['H', 'S']]"
6,"[10, 5]",[['S']]
5,"[10, 4]",[['S']]
5,"[9, 10]",[['S']]
6,"[3, 6]",[['D']]
10,"[4, 9]","[['H', 'H', 'S']]"
10,"[4, 6]","[['H', 'S']]"
5,"[10, 11]",[['S']]
3,"[10, 5]",[['S']]
5,"[8, 9]",[['S']]
2,"[6, 11]","[['H', 'S']]"
6,"[10, 7]",[['S']]
10,"[10, 11]",[['S']]
5,"[10, 10]",[['S']]
2,"[10, 10]",[['S']]
4,"[4, 7]",[['D']]
11,"[11, 10]","[['N', 'S']]"
3,"[9, 7]",[['S']]
10,"[10, 10]",[['S']]
9,"[2, 4]","[['H', 'H', 'H', 'S']]"
10,"[2, 10]","[['H', 'H', 'S']]"
8,"[10, 10]",[['S']]
3,"[8, 2]",[['D']]
5,"[6, 10]",[['S']]
9,"[10, 10]",[['S']]
10,"[6, 5]",[['D']]
10,"[10, 11]",[['S']]
5,"[3, 11]",[['D']]
10,"[10, 10]",[['S']]
2,"[10, 11]",[['S']]
6,"[5, 5]",[['D']]
9,"[8, 7]","[['H', 'S']]"
7,"[10, 10]",[['S']]
8,"[7, 6]","[['H', 'S']]"
5,"[2, 8]",[['D']]
7,"[5, 9]","[['H', 'H', 'S']]"
7,"[6, 2]","[['H', 'S']]"
10,"[8, 5]","[['H', 'S']]"
11,"[10, 8]","[['N', 'S']]"
10,"[9, 3]","[['H', 'S']]"
10,"[10, 2]","[['H', 'S']]"
8,"[3, 11]","[['H', 'S']]"
10,"[10, 10]",[['S']]
7,"[3, 6]","[['H', 'H', 'H', 'S']]"
10,"[3, 8]",[['D']]
6,"[11, 10]",[['S']]
10,"[10, 11]",[['S']]
3,"[3, 10]",[['S']]
4,"[2, 4]","[['H', 'H', 'S']]"
11,"[4, 6]","[['N', 'H', 'S']]"
2,"[7, 10]",[['S']]
8,"[10, 10]",[['S']]
7,"[11, 10]",[['S']]
10,"[2, 10]","[['H', 'H', 'S']]"
2,"[11, 10]",[['S']]
10,"[3, 11]","[['H', 'H', 'S']]"
10,"[10, 10]",[['S']]
2,"[6, 9]",[['S']]
10,"[11, 10]",[['S']]
10,"[5, 5]","[['H', 'S']]"
4,"[5, 9]",[['S']]
6,"[9, 4]",[['S']]
5,"[9, 9]","[['P', 'S'], ['S']]"
8,"[10, 10]",[['S']]
8,"[3, 5]","[['H', 'S']]"
9,"[4, 9]","[['H', 'S']]"
2,"[3, 6]","[['H', 'S']]"
7,"[10, 8]",[['S']]
10,"[7, 3]","[['H', 'S']]"
7,"[11, 10]",[['S']]
2,"[6, 10]",[['S']]
9,"[2, 9]",[['D']]
10,"[2, 7]","[['H', 'S']]"
4,"[9, 11]",[['S']]
10,"[10, 10]",[['S']]
8,"[2, 7]","[['H', 'S']]"
4,"[10, 3]",[['S']]
4,"[8, 11]",[['S']]
6,"[10, 6]",[['S']]
8,"[10, 9]",[['S']]
7,"[11, 4]","[['H', 'H', 'H', 'S']]"
3,"[4, 2]","[['H', 'S']]"
10,"[8, 8]","[['P', 'S'], ['P', 'D'], ['S']]"
6,"[10, 10]",[['S']]
6,"[10, 7]",[['S']]
10,"[10, 10]",[['S']]
2,"[3, 10]",[['S']]
11,"[3, 5]","[['N', 'H', 'H', 'S']]"
2,"[10, 10]",[['S']]
9,"[10, 10]",[['S']]
3,"[10, 5]",[['S']]
2,"[9, 6]",[['S']]
6,"[11, 5]",[['D']]
2,"[10, 2]","[['H', 'S']]"
3,"[10, 10]",[['S']]
7,"[11, 10]",[['S']]
10,"[11, 8]",[['S']]
9,"[11, 10]",[['S']]
6,"[11, 10]",[['S']]
10,"[9, 11]",[['S']]
10,"[3, 4]","[['H', 'H', 'S']]"
6,"[9, 4]",[['S']]
2,"[10, 4]",[['S']]
10,"[6, 4]","[['H', 'S']]"
4,"[10, 8]",[['S']]
10,"[4, 7]",[['D']]
4,"[10, 9]",[['S']]
9,"[10, 10]",[['S']]
7,"[11, 5]","[['H', 'S']]"
10,"[11, 4]","[['H', 'H', 'H', 'H', 'S']]"
10,"[9, 9]",[['S']]
10,"[10, 10]",[['S']]
9,"[5, 9]","[['H', 'S']]"
10,"[7, 4]",[['D']]
7,"[4, 7]",[['D']]
5,"[10, 11]",[['S']]
2,"[3, 2]","[['H', 'H', 'S']]"
10,"[11, 8]",[['S']]
10,"[6, 3]","[['H', 'S']]"
10,"[10, 11]",[['S']]
5,"[7, 3]",[['D']]
8,"[2, 7]","[['H', 'H', 'S']]"
5,"[5, 8]",[['S']]
9,"[10, 9]",[['S']]
7,"[7, 3]",[['D']]
2,"[6, 10]",[['S']]
10,"[10, 11]",[['S']]
6,"[10, 9]",[['S']]
10,"[9, 10]",[['S']]
10,"[10, 10]",[['S']]
6,"[7, 10]",[['S']]
3,"[10, 8]",[['S']]
10,"[10, 10]",[['S']]
2,"[10, 9]",[['S']]
6,"[2, 10]",[['S']]
10,"[7, 2]","[['H', 'S']]"
10,"[10, 10]",[['S']]
10,"[10, 3]","[['H', 'S']]"
2,"[10, 10]",[['S']]
6,"[11, 10]",[['S']]
6,"[10, 9]",[['S']]
6,"[10, 10]",[['S']]
10,"[11, 9]",[['S']]
7,"[2, 10]","[['H', 'S']]"
5,"[10, 10]",[['S']]
10,"[11, 10]",[['S']]
6,"[3, 3]","[['P', 'S'], ['D']]"
8,"[10, 3]","[['H', 'H', 'S']]"
2,"[10, 10]",[['S']]
7,"[3, 3]","[['P', 'H', 'S'], ['H', 'H', 'S']]"
5,"[10, 7]",[['S']]
