dealer_up,initial_hand,actions_taken,win
2,"[2, 10]","[['H', 'S']]",1
10,"[5, 9]","[['H', 'S']]",0
2,"[4, 10]",[['S']],1
4,"[4, 7]",[['D']],0
10,"[9, 2]",[['D']],0
10,"[2, 2]","[['H', 'H', 'S']]",0
7,"[5, 6]",[['D']],1
9,"[5, 10]","[['H', 'S']]",1
6,"[4, 6]",[['D']],0
10,"[7, 10]",[['S']],1
3,"[7, 11]",[['D']],1
10,"[5, 11]","[['H', 'H', 'H', 'H']]",0
4,"[9, 10]",[['S']],0
2,"[10, 5]",[['S']],1
2,"[10, 10]",[['S']],1
10,"[5, 2]","[['H', 'H']]",0
10,"[2, 11]","[['H', 'H']]",0
11,"[4, 6]","[['N', 'H', 'H']]",0
10,"[4, 7]",[['D']],1
6,"[6, 6]","[['P', 'S'], ['D']]",1
11,"[6, 11]","[['N', 'H', 'S']]",1
10,"[10, 4]",[['H']],0
6,"[7, 2]",[['D']],1
4,"[10, 10]",[['S']],0
8,"[11, 6]","[['H', 'H', 'S']]",0
9,"[8, 8]","[['P', 'P', 'S'], ['D'], ['H', 'S']]",0
11,"[10, 10]","[['N', 'S']]",1
2,"[7, 9]",[['S']],1
3,"[10, 3]",[['S']],0
3,"[10, 9]",[['S']],1
7,"[8, 10]",[['S']],0
9,"[9, 8]",[['S']],1
10,"[10, 10]",[[]],0
3,"[10, 5]",[['S']],0
2,"[10, 8]",[['S']],1
5,"[9, 10]",[['S']],1
11,"[2, 10]","[['N', 'H', 'S']]",1
5,"[6, 10]",[['S']],0
10,"[10, 7]",[['S']],1
10,"[10, 5]",[[]],0
6,"[8, 4]",[['S']],0
10,"[3, 5]","[['H', 'S']]",0
3,"[10, 3]",[['S']],1
10,"[10, 3]","[['H', 'H', 'S']]",1
6,"[3, 10]",[['S']],1
9,"[10, 3]",[['H']],0
3,"[4, 7]",[['D']],0
10,"[10, 10]",[['S']],1
4,"[6, 8]",[['S']],1
8,"[5, 10]",[['H']],0
10,"[2, 10]","[['H', 'H', 'S']]",1
11,"[10, 10]","[['N', 'S']]",1
3,"[10, 5]",[['S']],0
4,"[10, 2]",[['S']],0
7,"[5, 2]","[['H', 'H', 'H']]",0
10,"[3, 5]",[[]],0
10,"[8, 7]",[['R']],0
10,"[9, 8]",[['S']],1
10,"[10, 6]",[['R']],0
2,"[4, 3]","[['H', 'S']]",1
10,"[4, 10]","[['H', 'H']]",0
10,"[3, 7]","[['H', 'S']]",0
10,"[10, 10]",[['S']],1
7,"[3, 2]","[['H', 'H']]",0
6,"[10, 8]",[['S']],0
8,"[8, 4]","[['H', 'H', 'H']]",0
6,"[5, 10]",[['S']],0
10,"[10, 5]",[['R']],0
10,"[11, 10]",[['S']],1
8,"[2, 6]","[['H', 'S']]",0
3,"[9, 3]",[['H']],0
10,"[10, 2]","[['H', 'S']]",0
9,"[10, 8]",[['S']],0
9,"[10, 10]",[['S']],1
10,"[9, 3]",[['H']],0
6,"[3, 10]",[['S']],0
6,"[6, 10]",[['S']],0
4,"[2, 3]","[['H', 'S']]",1
10,"[6, 9]",[['R']],0
4,"[10, 6]",[['S']],0
2,"[6, 5]",[['D']],1
8,"[3, 11]","[['H', 'H', 'S']]",1
2,"[11, 3]","[['H', 'S']]",0
7,"[2, 11]","[['H', 'S']]",1
8,"[2, 10]",[['H']],0
10,"[11, 4]","[['H', 'S']]",1
10,"[5, 10]",[['R']],0
11,"[9, 10]","[['N', 'S']]",0
4,"[7, 5]",[['S']],0
4,"[4, 8]",[['S']],0
5,"[10, 11]",[['S']],1
2,"[4, 7]",[['D']],1
6,"[3, 10]",[['S']],0
10,"[7, 5]","[['H', 'S']]",1
10,"[10, 4]","[['H', 'S']]",1
8,"[5, 10]",[['H']],0
10,"[6, 9]",[['R']],0
3,"[11, 5]","[['H', 'S']]",1
11,"[4, 6]","[['N', 'H', 'H']]",0
4,"[2, 2]","[['P', 'S'], ['H', 'S']]",1
8,"[9, 2]",[['D']],1
6,"[10, 6]",[['S']],0
11,"[10, 10]","[['N', 'S']]",1
7,"[8, 10]",[['S']],0
10,"[2, 10]",[['H']],0
9,"[5, 10]","[['H', 'S']]",0
11,"[3, 3]",[['N']],0
3,"[11, 10]",[['S']],1
5,"[8, 8]","[['P', 'D'], ['S']]",1
10,"[6, 10]",[['R']],0
9,"[7, 10]",[['S']],0
5,"[3, 4]","[['H', 'H', 'S']]",1
7,"[3, 5]","[['H', 'S']]",1
10,"[6, 4]","[['H', 'H', 'S']]",0
4,"[10, 6]",[['S']],0
10,"[10, 7]",[['S']],0
7,"[8, 2]",[['D']],0
9,"[4, 9]","[['H', 'S']]",0
9,"[2, 8]",[['D']],0
10,"[11, 7]","[['H', 'H']]",0
6,"[10, 11]",[['S']],1
9,"[11, 5]","[['H', 'S']]",1
10,"[10, 11]",[['S']],1
8,"[9, 5]",[['H']],0
10,"[4, 2]","[['H', 'H', 'H']]",0
4,"[11, 10]",[['S']],1
4,"[4, 2]","[['H', 'S']]",1
9,"[10, 3]","[['H', 'S']]",1
10,"[10, 10]",[['S']],1
4,"[7, 10]",[['S']],0
5,"[6, 6]","[['P', 'S'], ['S']]",1
6,"[10, 10]",[['S']],1
4,"[10, 3]",[['S']],1
10,"[2, 6]","[['H', 'S']]",0
6,"[6, 4]",[['D']],1
10,"[11, 5]","[['H', 'H']]",0
5,"[4, 8]",[['S']],1
3,"[2, 6]","[['H', 'S']]",0
6,"[10, 2]",[['S']],0
11,"[6, 10]","[['N', 'R']]",0
9,"[10, 10]",[['S']],1
6,"[11, 10]",[['S']],1
10,"[10, 9]",[['S']],0
9,"[6, 5]",[['D']],0
5,"[10, 8]",[['S']],1
8,"[4, 10]",[['H']],0
10,"[10, 7]",[['S']],1
10,"[10, 11]",[['S']],1
2,"[9, 5]",[['S']],1
3,"[4, 4]","[['H', 'S']]",0
9,"[10, 10]",[['S']],1
6,"[3, 2]","[['H', 'H', 'H', 'S']]",1
8,"[11, 5]","[['H', 'S']]",1
8,"[2, 11]","[['H', 'H', 'H', 'S']]",0
9,"[10, 10]",[['S']],0
8,"[5, 8]","[['H', 'H', 'H']]",0
10,"[3, 7]","[['H', 'S']]",0
7,"[10, 10]",[['S']],1
6,"[10, 10]",[['S']],1
10,"[4, 10]","[['H', 'H']]",0
6,"[3, 5]","[['H', 'S']]",1
10,"[6, 4]",[[]],0
10,"[10, 6]",[['R']],0
7,"[6, 2]","[['H', 'S']]",1
3,"[4, 2]","[['H', 'H', 'H']]",0
3,"[7, 10]",[['S']],0
4,"[9, 10]",[['S']],0
4,"[10, 3]",[['S']],0
10,"[10, 4]","[['H', 'S']]",0
5,"[5, 9]",[['S']],0
8,"[3, 10]",[['H']],0
5,"[10, 5]",[['S']],0
7,"[7, 7]","[['P', 'S'], ['P', 'S'], ['S']]",0
10,"[4, 10]",[['H']],0
7,"[10, 9]",[['S']],1
6,"[10, 4]",[['S']],0
7,"[10, 11]",[['S']],1
3,"[10, 9]",[['S']],0
5,"[3, 7]",[['D']],1
10,"[8, 11]",[['S']],0
7,"[10, 7]",[['S']],0
10,"[10, 2]",[['H']],0
4,"[10, 10]",[['S']],1
3,"[3, 11]","[['H', 'S']]",1
10,"[10, 9]",[['S']],0
7,"[9, 3]","[['H', 'S']]",1
3,"[5, 10]",[['S']],0
3,"[5, 5]",[['D']],1
8,"[11, 10]",[['S']],1
10,"[7, 4]",[['D']],1
2,"[10, 10]",[['S']],1
10,"[11, 6]","[['H', 'S']]",0
2,"[10, 7]",[['S']],1
5,"[10, 2]",[['S']],0
4,"[6, 10]",[['S']],0
4,"[10, 10]",[['S']],1
3,"[10, 10]",[['S']],1
6,"[11, 3]",[['D']],1
5,"[7, 6]",[['S']],1
3,"[7, 4]",[['D']],1
9,"[10, 11]",[['S']],1
4,"[7, 10]",[['S']],1
11,"[3, 3]",[['N']],0
8,"[10, 2]","[['H', 'S']]",1
10,"[9, 5]","[['H', 'H']]",0
2,"[6, 5]",[['D']],0
2,"[4, 6]",[['D']],1
11,"[10, 3]","[['N', 'H', 'S']]",1
9,"[9, 5]","[['H', 'H', 'S']]",1
10,"[9, 5]",[['H']],0
10,"[6, 9]",[['R']],0
10,"[5, 10]",[['R']],0
6,"[9, 10]",[['S']],1
10,"[11, 10]",[['S']],1
10,"[10, 10]",[['S']],1
10,"[9, 5]","[['H', 'S']]",1
11,"[3, 2]",[['N']],0
8,"[4, 10]",[['H']],0
11,"[10, 10]","[['N', 'S']]",1
10,"[2, 5]","[['H', 'H', 'S']]",1
8,"[10, 4]",[['H']],0
2,"[7, 9]",[['S']],0
7,"[4, 10]","[['H', 'S']]",1
9,"[10, 3]",[['H']],0
6,"[10, 4]",[['S']],1
4,"[11, 10]",[['S']],1
4,"[7, 10]",[['S']],1
2,"[10, 6]",[['S']],0
10,"[10, 10]",[['S']],0
6,"[5, 7]",[['S']],1
10,"[9, 6]",[['R']],0
2,"[7, 10]",[['S']],1
5,"[11, 10]",[['S']],1
8,"[9, 7]",[['H']],0
8,"[5, 11]","[['H', 'H']]",0
10,"[6, 3]","[['H', 'S']]",0
3,"[10, 10]",[['S']],1
10,"[3, 6]","[['H', 'S']]",1
10,"[6, 3]","[['H', 'S']]",1
2,"[10, 2]",[['H']],0
6,"[3, 10]",[['S']],0
5,"[4, 8]",[['S']],0
10,"[10, 2]","[['H', 'S']]",1
6,"[2, 6]","[['H', 'H', 'S']]",0
9,"[5, 10]","[['H', 'S']]",0
11,"[6, 9]","[['N', 'R']]",0
6,"[6, 10]",[['S']],1
7,"[2, 10]","[['H', 'H', 'S']]",0
2,"[10, 10]",[['S']],1
11,"[4, 5]","[['N', 'H', 'S']]",1
4,"[10, 4]",[['S']],1
5,"[9, 10]",[['S']],1
2,"[10, 10]",[['S']],1
8,"[2, 5]","[['H', 'S']]",0
10,"[6, 8]",[['H']],0
5,"[6, 8]",[['S']],1
10,"[5, 10]",[['R']],0
10,"[10, 2]",[['H']],0
7,"[3, 11]","[['H', 'H', 'S']]",0
10,"[3, 9]","[['H', 'S']]",1
10,"[10, 10]",[['S']],0
8,"[9, 2]",[['D']],0
4,"[10, 10]",[['S']],1
10,"[3, 11]","[['H', 'H', 'S']]",1
8,"[7, 10]",[['S']],0
10,"[2, 2]","[['H', 'H', 'S']]",1
2,"[6, 4]",[['D']],0
7,"[9, 10]",[['S']],1
10,"[6, 11]","[['H', 'S']]",1
6,"[7, 10]",[['S']],1
9,"[6, 3]","[['H', 'H', 'S']]",1
7,"[3, 3]","[['P', 'H', 'H', 'H', 'H'], ['H', 'H']]",0
5,"[10, 3]",[['S']],1
10,"[11, 4]","[['H', 'H']]",0
11,"[4, 7]","[['N', 'D']]",0
4,"[6, 3]",[['D']],0
10,"[7, 7]",[['H']],0
4,"[2, 10]",[['S']],0
11,"[6, 6]",[['N']],0
6,"[5, 10]",[['S']],1
10,"[3, 3]","[['H', 'H', 'S']]",1
10,"[8, 10]",[[]],0
10,"[7, 11]","[['H', 'H']]",0
9,"[5, 5]",[['D']],1
6,"[8, 10]",[['S']],1
3,"[10, 2]","[['H', 'S']]",1
9,"[10, 10]",[['S']],1
8,"[4, 11]","[['H', 'H', 'H']]",0
10,"[10, 7]",[['S']],1
6,"[3, 10]",[['S']],0
2,"[10, 2]","[['H', 'S']]",0
9,"[7, 8]",[['H']],0
2,"[10, 10]",[['S']],1
11,"[7, 2]",[['N']],0
10,"[4, 5]","[['H', 'H']]",0
6,"[11, 10]",[['S']],1
9,"[4, 5]","[['H', 'H', 'H']]",0
10,"[9, 6]",[['R']],0
10,"[9, 5]","[['H', 'H']]",0
3,"[10, 10]",[['S']],0
10,"[8, 8]","[['P', 'S'], ['D']]",0
2,"[10, 9]",[['S']],1
10,"[3, 4]","[['H', 'S']]",0
9,"[2, 10]","[['H', 'H']]",0
8,"[11, 6]","[['H', 'S']]",1
4,"[10, 8]",[['S']],0
10,"[6, 10]",[['R']],0
7,"[8, 5]","[['H', 'S']]",1
6,"[2, 11]",[['D']],0
10,"[2, 7]","[['H', 'S']]",1
10,"[3, 10]","[['H', 'S']]",0
4,"[5, 10]",[['S']],1
9,"[10, 6]",[['R']],0
4,"[8, 2]",[['D']],0
10,"[9, 3]","[['H', 'S']]",1
10,"[4, 4]",[[]],0
7,"[7, 7]","[['P', 'D'], ['S']]",0
2,"[11, 4]","[['H', 'H', 'S']]",1
10,"[7, 10]",[['S']],0
10,"[5, 2]","[['H', 'H', 'S']]",1
3,"[3, 3]","[['P', 'S'], ['P', 'S'], ['S']]",0
6,"[5, 10]",[['S']],0
10,"[6, 10]",[['R']],0
5,"[6, 4]",[['D']],1
6,"[6, 11]",[['D']],1
10,"[6, 7]","[['H', 'S']]",0
3,"[10, 3]",[['S']],0
9,"[2, 9]",[['D']],0
10,"[2, 7]","[['H', 'H', 'S']]",1
9,"[7, 10]",[['S']],0
7,"[10, 4]",[['H']],0
10,"[4, 3]","[['H', 'S']]",0
10,"[6, 3]",[[]],0
4,"[9, 9]","[['P', 'S'], ['S']]",1
8,"[10, 9]",[['S']],1
7,"[10, 3]",[['H']],0
5,"[10, 10]",[['S']],1
6,"[7, 10]",[['S']],0
10,"[7, 6]","[['H', 'S']]",1
8,"[8, 9]",[['S']],0
7,"[2, 4]","[['H', 'H', 'S']]",0
7,"[10, 10]",[['S']],1
8,"[9, 10]",[['S']],1
10,"[9, 10]",[['S']],1
10,"[10, 10]",[['S']],1
11,"[8, 5]",[['N']],0
8,"[10, 11]",[['S']],1
5,"[6, 11]",[['D']],0
2,"[10, 10]",[['S']],1
10,"[8, 8]","[['P', 'H', 'S'], ['S']]",0
7,"[9, 10]",[['S']],1
5,"[4, 10]",[['S']],0
5,"[5, 11]",[['D']],1
3,"[10, 8]",[['S']],0
10,"[11, 11]","[['P'], []]",0
11,"[4, 10]","[['N', 'H', 'S']]",1
2,"[10, 9]",[['S']],1
7,"[2, 11]","[['H', 'H', 'S']]",1
3,"[11, 7]",[['D']],1
11,"[10, 6]","[['N', 'R']]",0
6,"[10, 4]",[['S']],0
4,"[5, 2]","[['H', 'S']]",0
3,"[8, 3]",[['D']],0
5,"[7, 4]",[['D']],1
10,"[10, 2]","[['H', 'H']]",0
10,"[9, 7]",[['R']],0
11,"[5, 11]",[['N']],0
10,"[11, 2]","[['H', 'H', 'H']]",0
5,"[2, 8]",[['D']],1
10,"[10, 9]",[['S']],0
10,"[9, 9]",[['S']],0
6,"[3, 6]",[['D']],1
6,"[10, 3]",[['S']],0
2,"[10, 11]",[['S']],1
8,"[2, 3]","[['H', 'H', 'H']]",0
10,"[4, 3]","[['H', 'H', 'H']]",0
4,"[11, 7]",[['D']],0
4,"[10, 10]",[['S']],1
